"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"George Pickens","PIT","WR","136.9","153.5","-16.599999999999994","9.8","11","-1.2","14","59","59.68","900","835.34","3","6.5952","-6","4.4492","0","0.01"
"Xavier Worthy","KC","WR","157.7","150.5","7.199999999999989","9.3","8.9","0.4","17","59","65.11","638","723.8","6","6.0768","104","57.1046","3","0.57"
"Jake Ferguson","DAL","TE","78.9","99.8","-20.89999999999999","5.6","7.1","-1.5","14","59","61.65","494","578.27","0","1.8528","0","0","0","0"
"Jaylen Waddle","MIA","WR","116.6","134.4","-17.80000000000001","7.8","9","-1.2","15","58","58.36","744","756.08","2","4.6848","12","13.034","0","0.03"
"Jameson Williams","DET","WR","183.2","141.4","41.79999999999998","12.2","9.4","2.8","15","58","58.61","1001","782.29","7","4.416","61","46.8342","1","0.44"
"Breece Hall","NYJ","RB","212.4","213.9","-1.5","13.3","13.4","-0.1","16","57","63.63","483","447.31","3","2.7168","876","903.5322","5","5.11"
"DeAndre Hopkins","KC","WR","119","119","0","7.4","7.4","0","16","56","48.03","610","612.57","5","5.6256","0","0","0","0"
"Quentin Johnston","LAC","WR","147.2","133.3","13.899999999999977","9.8","8.9","0.9","15","55","56.05","711","708.3","8","5.5008","6","14.21","0","0"
"Jayden Reed","GB","WR","171.5","120.1","51.400000000000006","10.1","7.1","3","17","55","52.83","857","568.38","6","4.5216","163","83.5842","1","0.23"
"Mark Andrews","BLT","TE","161.3","121.6","39.70000000000002","9.5","7.2","2.3","17","55","44.97","673","578.99","11","6.4896","5","13.0928","0","0.16"
"Chase Brown","CIN","RB","228","234.1","-6.099999999999994","14.3","14.6","-0.4","16","54","49.87","360","341.5","4","3.5808","990","944.4778","7","9.84"
"Rome Odunze","CHI","WR","119.9","150.9","-31","7.1","8.9","-1.8","17","54","56.38","734","798.52","3","6.9888","15","8.9964","0","0"
"Dalton Schultz","HST","TE","91.7","109.3","-17.599999999999994","5.4","6.4","-1","17","53","57.59","532","633.16","2","2.8704","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","87.6","88.2","-0.6000000000000085","5.2","5.2","0","17","52","50.42","479","498.37","2","2.112","17","4.557","0","0"
"Jahmyr Gibbs","DET","RB","338.9","244.3","94.59999999999997","19.9","14.4","5.6","17","52","53.88","517","355.66","4","3.3216","1412","1023.3584","16","9.92"
"Javonte Williams","DEN","RB","135.9","164.6","-28.69999999999999","8","9.7","-1.7","17","52","55.58","346","385.53","0","1.0272","513","578.2796","4","5.71"
"Deebo Samuel","SF","WR","130.1","135.3","-5.200000000000017","8.7","9","-0.3","15","51","57.71","670","614.72","3","3.5424","136","163.5522","1","1.22"
"Rachaad White","TB","RB","180.1","154.3","25.799999999999983","11.3","9.6","1.6","16","51","47.67","393","266.29","6","2.4576","613","603.7886","3","4.78"
"Tyler Conklin","NYJ","TE","94.4","96.7","-2.299999999999997","5.9","6","-0.1","16","51","50.53","449","504.81","4","3.4176","0","4.0572","0","0"
"Aaron Jones","MIN","RB","222.1","239.9","-17.80000000000001","13.1","14.1","-1","17","51","47.58","408","322.98","2","3.696","1138","1067.2228","5","9.16"
"Tank Dell","HST","WR","114.5","128.8","-14.300000000000011","8.2","9.2","-1","14","51","50.3","667","709.05","3","4.704","43","39.3274","0","0.1"
"Chris Godwin","TB","WR","112.8","80.9","31.89999999999999","16.1","11.6","4.6","7","50","44.4","576","444.65","5","2.3136","2","3.283","0","0.01"
"Will Dissly","LAC","TE","85.1","81.8","3.299999999999997","5.7","5.5","0.2","15","50","46","481","431.66","2","2.6016","0","0","0","0"
