"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Tommy Tremble","CAR","TE","46.9","39.3","7.600000000000001","3.9","3.3","0.6","12","23","20.31","234","194.01","2","1.6224","0","0","0","0"
"Adonai Mitchell","IND","WR","43.3","83.7","-40.400000000000006","2.5","4.9","-2.4","17","23","31.2","312","483.44","0","3.0432","6","10.9074","0","0.07"
"Taysom Hill","NO","TE","94","61.2","32.8","11.8","7.7","4.1","8","23","23.72","187","200.61","0","0.72","278","149.6852","6","1.67"
"Antonio Gibson","NE","RB","91.9","98.8","-6.8999999999999915","5.4","5.8","-0.4","17","23","23.72","206","182.85","0","0.432","538","517.6364","1","2.39"
"Zack Moss","CIN","RB","72.4","86.4","-14","9.1","10.8","-1.8","8","23","23.28","187","156.7","1","0.7392","242","297.2446","2","4.15"
"Kareem Hunt","KC","RB","143.9","178.2","-34.29999999999998","11.1","13.7","-2.6","13","23","23.18","176","120.72","0","2.7168","728","809.7952","7","9.55"
"Jordan Whittington","LA","WR","41.5","36.2","5.299999999999997","3","2.6","0.4","14","22","20.79","293","210.92","0","0.6528","12","8.3006","0","0"
"Dawson Knox","BUF","TE","48.1","43.6","4.5","3","2.7","0.3","16","22","20.24","311","264.99","1","1.1712","0","0","0","0"
"Justin Watson","KC","WR","51.9","47.9","4","3.1","2.8","0.2","17","22","17.93","289","262.51","2","2.112","0","0","0","0"
"Josh Oliver","MIN","TE","54.8","44.8","10","3.7","3","0.7","15","22","19.2","258","217.58","3","2.2464","0","0","0","0"
"Devin Singletary","NYG","RB","90.1","91.8","-1.7000000000000028","6","6.1","-0.1","15","21","21.69","119","138.21","0","0.0672","437","480.5046","4","3.12"
"Mike Williams","PIT","WR","46.3","48.5","-2.200000000000003","2.6","2.7","-0.1","18","21","17.76","298","289.87","1","1.776","0","0","0","0"
"Michael Mayer","LV","TE","26.1","42","-15.899999999999999","2.4","3.8","-1.4","11","21","22.48","156","221.58","0","1.4304","0","0","0","0"
"Elijah Higgins","ARZ","TE","39.2","35.3","3.9000000000000057","2.3","2.1","0.2","17","20","18.16","172","177.09","2","1.4112","0","0","0","0"
"Drew Sample","CIN","TE","26.5","28.5","-2","1.6","1.7","-0.1","17","20","17.96","109","140.11","1","0.912","-4","0","0","0"
"Robert Woods","HST","WR","30.3","47.4","-17.099999999999998","2","3.2","-1.1","15","20","21.33","203","268.55","0","1.6416","0","0","0","0"
"Erick All","CIN","TE","25.8","25.6","0.1999999999999993","2.9","2.8","0","9","20","16.97","158","156.99","0","0.2304","0","0","0","0"
"Gabe Davis","JAX","WR","45.9","74","-28.1","4.6","7.4","-2.8","10","20","24.48","239","361.27","2","4.2736","0","0","0","0"
"Rashid Shaheed","NO","WR","65.8","69.3","-3.5","11","11.5","-0.6","6","20","23.15","349","403.2","3","2.4864","29","20.4722","0","0.08"
"Brian Robinson","WAS","RB","153.8","154.6","-0.799999999999983","11","11","-0.1","14","20","20.87","159","134.02","0","0.4512","799","748.9976","8","8.86"
"Cedrick Wilson Jr.","NO","WR","37.1","36","1.1000000000000014","2.5","2.4","0.1","15","20","19.9","211","231.26","1","0.48","0","0","0","0"
"Lucas Krull","DEN","TE","24.7","27.4","-2.6999999999999993","1.9","2.1","-0.2","13","19","17.35","152","180.37","0","0.1152","0","0","0","0"
"Braelon Allen","NYJ","RB","75.7","81","-5.299999999999997","4.5","4.8","-0.3","17","19","22.84","148","170.98","1","0.3072","334","390.9906","2","1.93"
"Tanner Hudson","CIN","TE","31","35.7","-4.700000000000003","2.8","3.2","-0.4","11","19","18.61","154","165.39","1","1.5744","1","4.0572","0","0"
"Jahan Dotson","PHI","WR","32.4","37.5","-5.100000000000001","1.9","2.2","-0.3","17","19","20.17","216","247.86","0","0.4416","13","0","0","0"
"Kyle Juszczyk","SF","RB","50.1","44.3","5.800000000000004","2.9","2.6","0.3","17","19","21.58","200","212.4","2","0.7872","26","17.395","1","0.96"
"Marquez Valdes-Scantling","NO","WR","75","68.4","6.599999999999994","5.4","4.9","0.5","14","19","22.54","411","432.54","4","2.2272","4","4.6452","0","0"
"Johnny Mundt","MIN","TE","35.7","37.9","-2.1999999999999957","2.1","2.2","-0.1","17","19","19.18","142","169.91","2","1.8912","0","0","0","0"
"Derrick Henry","BLT","RB","328.9","234.2","94.69999999999999","19.3","13.8","5.6","17","19","18.2","193","107.74","2","1.1904","1921","1346.8454","16","12.08"
"Raheem Mostert","MIA","RB","65.4","79.2","-13.799999999999997","5","6.1","-1.1","13","19","17.67","161","134.95","0","0.3744","278","348.655","2","3.3"
"Dare Ogunbowale","HST","RB","46.5","51.4","-4.899999999999999","2.7","3","-0.3","17","19","20.26","198","146.02","1","1.7856","112","122.7156","0","0.61"
"Darnell Washington","PIT","TE","35.5","33.1","2.3999999999999986","2.1","1.9","0.1","17","19","17.69","200","168.78","1","1.2288","0","0","0","0"
"JuJu Smith-Schuster","KC","WR","44.1","37.9","6.200000000000003","3.1","2.7","0.4","14","18","19.05","231","188.96","2","1.584","0","0","0","0"
"Jonathan Taylor","IND","RB","237.7","228.1","9.599999999999994","17","16.3","0.7","14","18","25.64","136","169.28","1","0.7968","1431","1249.718","11","11.44"
"Ty Johnson","BUF","RB","82.7","62.8","19.900000000000006","4.9","3.7","1.2","17","18","17.15","284","175.62","3","1.8816","213","167.041","1","1.44"
"Luke McCaffrey","WAS","WR","25.8","39.1","-13.3","1.5","2.3","-0.8","17","18","17.95","168","189.72","0","1.8624","0","0","0","0"
"Jeremy Ruckert","NYJ","TE","19.5","34.7","-15.200000000000003","1.1","2","-0.9","17","18","20.96","105","191.95","0","0.8352","0","0","0","0"
"Jonathan Mingo","DAL","WR","25.7","58.2","-32.5","1.5","3.4","-1.9","17","17","27.71","167","366.43","0","1.1328","5","9.4178","0","0"
"Kalif Raymond","DET","WR","42","28.8","13.2","3.5","2.4","1.1","12","17","15.39","215","168.7","2","0.5568","0","9.3198","0","0"
"Ray Davis","BUF","RB","107.6","89.2","18.39999999999999","6.3","5.2","1.1","17","17","14.68","189","113.77","3","1.0752","442","480.0824","3","2.67"
"Nick Vannett","TEN","TE","40","31.1","8.899999999999999","2.4","1.8","0.5","17","17","15.25","135","112.88","3","2.0256","0","0","0","0"
"DJ Turner","LV","WR","39.1","39.5","-0.3999999999999986","3.3","3.3","0","12","16","18.93","158","223.83","1","0.8064","33","21.0308","1","0.12"
"Trey Sermon","IND","RB","45.8","63.9","-18.1","2.7","3.8","-1.1","17","16","15.54","99","116.04","0","0.48","159","217.885","2","3.31"
"Roschon Johnson","CHI","RB","69.4","66.9","2.5","5.3","5.1","0.2","13","16","14.35","104","102.05","0","0.336","150","206.3806","6","4.47"
"Kenneth Gainwell","PHI","RB","54.6","75.7","-21.1","3.2","4.5","-1.2","17","16","18.64","116","133.33","0","0.6816","290","309.778","1","2.99"
"Stone Smartt","LAC","TE","28.8","27","1.8000000000000007","2.2","2.1","0.1","13","16","13.47","208","172.92","0","0.4992","0","0","0","0"
"Emari Demercado","ARZ","RB","46.7","35.4","11.300000000000004","3.6","2.7","0.9","13","16","15.9","104","124.03","0","0.5952","223","106.8298","1","0.13"
"Christian McCaffrey","SF","RB","42.3","50.2","-7.900000000000006","10.6","12.6","-2","4","15","14.81","146","124.41","0","0.768","202","216.335","0","0.69"
"Isaac Guerendo","SF","RB","88.7","71.5","17.200000000000003","5.9","4.8","1.1","15","15","13.07","152","111.01","0","0.192","420","346.793","4","3.01"
"Cade Stover","HST","TE","26.8","27.8","-1","1.8","1.9","-0.1","15","15","15.56","133","152.56","1","0.7968","0","0","0","0"
"Mason Tipton","NO","WR","16.9","30.8","-13.900000000000002","1.5","2.8","-1.3","11","14","15.07","99","208.24","0","0.4128","0","0","0","0"
"Kylen Granson","IND","TE","25.2","43.7","-18.500000000000004","1.5","2.6","-1.1","17","14","19.43","182","243.88","0","1.6032","0","0","0","0"
"Cam Akers","MIN","RB","88.2","80.8","7.400000000000006","5.9","5.4","0.5","15","14","13.5","68","77.35","3","1.3152","444","456.2002","2","2.13"
"Nelson Agholor","BLT","WR","42.1","43.1","-1","3","3.1","-0.1","14","14","16.39","231","243.22","2","1.7568","0","0","0","0"
"Nate Adkins","DEN","TE","36.5","23.7","12.8","2.1","1.4","0.8","17","14","11.77","115","108.58","3","1.1616","0","0","0","0"
"Daniel Bellinger","NYG","TE","19.5","17.2","2.3000000000000007","1.1","1","0.1","17","14","10.83","125","112.82","0","0.0768","0","0","0","0"
"Pierre Strong Jr.","CLV","RB","28.2","34.1","-5.900000000000002","2.4","2.8","-0.5","12","14","17.7","104","118.78","0","0.2688","108","112.0336","0","0.09"
"Brock Wright","DET","TE","28.5","30.2","-1.6999999999999993","1.7","1.8","-0.1","17","13","12.14","100","113.69","2","2.1312","0","0","0","0"
"Derius Davis","LAC","WR","33.6","23.9","9.700000000000003","2.4","1.7","0.7","14","13","11.46","112","88.5","2","0.6528","39","37.2204","0","0.28"
"Adam Trautman","DEN","TE","37.3","32.5","4.799999999999997","2.2","1.9","0.3","17","13","14.69","188","146.59","2","1.7472","0","0","0","0"
"Josh Reynolds","JAX","WR","31.9","32.5","-0.6000000000000014","3.5","3.6","-0.1","9","13","14.66","194","183.04","1","1.1424","0","0","0","0"
"Tyler Allgeier","ATL","RB","97.7","96.6","1.1000000000000085","5.7","5.7","0.1","17","13","11.44","88","78.88","0","0.1728","644","552.2214","3","4.45"
"Jake Bobo","SEA","WR","23.2","25.3","-2.1000000000000014","1.4","1.5","-0.1","17","13","11.96","107","144.89","1","0.8064","0","0","0","0"
"Hunter Luepke","DAL","RB","20.9","24.1","-3.200000000000003","1.3","1.5","-0.2","16","12","11.37","111","92.77","0","0.0576","38","45.5704","0","0.71"
"Ezekiel Elliott","DAL","RB","53.5","65.6","-12.099999999999994","3.6","4.4","-0.8","15","12","13.22","69","73.19","0","0.4608","226","298.646","3","3.18"
"Jordan Mims","NO","RB","20.1","28.6","-8.5","2.2","3.2","-0.9","9","12","14.35","71","99.69","0","0.3264","70","89.817","0","0.08"
"Ryan Miller","TB","WR","30.8","31.6","-0.8000000000000007","2.8","2.9","-0.1","11","12","12.74","128","145.27","2","1.7856","0","0","0","0"
"Mecole Hardman Jr.","KC","WR","27.2","23.6","3.599999999999998","2.5","2.1","0.3","11","12","12.13","90","73.38","0","1.2576","62","20.2468","1","0.11"
"Ja'Lynn Polk","NE","WR","26.7","46.4","-19.7","1.8","3.1","-1.3","15","12","18.23","87","241.78","2","2.112","0","2.9008","0","0.02"
"D'Ernest Johnson","JAX","RB","29.9","40.7","-10.800000000000004","2.3","3.1","-0.8","13","12","14.15","96","99.71","0","0.528","143","134.525","0","1.18"
"Jalen Brooks","DAL","WR","29.7","42.3","-12.599999999999998","2.1","3","-0.9","14","12","16.45","177","243.13","1","1.6224","0","0","0","0"
"Xavier Hutchinson","HST","WR","17.7","31.9","-14.2","1.1","2","-0.9","16","12","14.53","117","173.18","0","1.2192","0","0","0","0"
"Trey Palmer","TB","WR","29.2","30","-0.8000000000000007","1.9","2","-0.1","15","12","12.66","172","190.49","1","0.7776","0","0","0","0"
"Luke Farrell","JAX","TE","12.7","20.2","-7.5","0.7","1.2","-0.4","17","12","12.34","67","107.51","0","0.5472","0","0","0","0"
"Dante Pettis","NO","WR","24","36.2","-12.200000000000003","3","4.5","-1.5","8","12","14.83","120","187.42","1","1.68","0","0","0","0"
"Isiah Pacheco","KC","RB","50.9","64.8","-13.899999999999999","7.3","9.3","-2","7","12","13.37","79","72.94","0","0.5088","310","351.3304","1","2.1"
"Mo Alie-Cox","IND","TE","26.7","37.2","-10.500000000000004","1.6","2.2","-0.6","17","12","14.14","147","167.32","1","2.2272","0","0","0","0"
"Julian Hill","MIA","TE","16","28.2","-12.2","1","1.8","-0.8","16","12","12.86","100","128.84","0","1.4784","0","0","0","0"
"Cordarrelle Patterson","PIT","RB","33.5","34.7","-1.2000000000000028","2.6","2.7","-0.1","13","12","10.57","80","93.63","1","0.6144","135","140.0126","0","0.4"
"Chris Brooks","GB","RB","36.7","36.2","0.5","2.8","2.8","0","13","11","11.35","69","62.01","0","0.6048","183","143.4038","1","1.06"
"Payne Durham","TB","TE","29","19.8","9.2","1.8","1.2","0.6","16","11","8.35","115","92.57","2","1.056","0","0","0","0"
"Emanuel Wilson","GB","RB","90.5","73.9","16.599999999999994","5.3","4.3","1","17","11","11.03","48","48.8","1","0.3744","502","420.2248","4","3.2"
"Jordan Mason","SF","RB","111.5","116.4","-4.900000000000006","9.3","9.7","-0.4","12","11","10.8","91","93.19","0","0.5088","789","625.946","3","6.01"
"Devin Duvernay","JAX","WR","13.7","23","-9.3","1.1","1.9","-0.8","12","11","10.03","79","123.17","0","0.5952","3","16.4836","0","0.08"
"Tyler Goodson","IND","RB","38.9","40.2","-1.3000000000000043","2.6","2.7","-0.1","15","11","11.49","61","79.26","1","1.0656","153","134.6912","1","1.11"
"Eric Saubert","SF","TE","21.2","23.6","-2.400000000000002","1.2","1.4","-0.1","17","11","9.89","97","99.27","1","1.4496","0","0","0","0"
"Michael Carter","ARZ","RB","30.3","36.3","-5.9999999999999964","10.1","12.1","-2","3","11","9.86","57","65.38","0","0.3456","131","140.2188","1","1.46"
"Tylan Wallace","BLT","WR","30.8","15","15.8","1.8","0.9","0.9","17","11","9.11","193","94.69","1","0.1632","0","0","0","0"
"Alec Ingold","MIA","RB","22.8","20.6","2.1999999999999993","1.5","1.4","0.1","15","11","8.94","96","77.04","0","0.336","17","35.4956","1","0.48"
"Kevin Austin Jr.","NO","WR","21.5","27.3","-5.800000000000001","2.7","3.4","-0.7","8","11","13.28","151","188.97","0","0.2112","9","4.5178","0","0.01"
"Ryan Flournoy","DAL","WR","15.2","18.6","-3.400000000000002","1.4","1.7","-0.3","11","10","9.54","102","127.04","0","0.192","0","0","0","0"
"Eric Gray","NYG","RB","16.3","23.4","-7.099999999999998","1.2","1.7","-0.5","14","10","9.44","82","51.97","0","0.288","31","51.1176","0","1.1"
"Malik Heath","GB","WR","26.7","17.4","9.3","2.2","1.4","0.8","12","10","7.84","97","76.86","2","0.9696","0","0","0","0"
"Khalil Herbert","CIN","RB","26.5","38.9","-12.399999999999999","2","3","-1","13","10","9.79","25","57.22","0","0.5664","130","138.6508","1","1.84"
"JaMycal Hasty","NE","RB","23.8","21.9","1.9000000000000021","2","1.8","0.2","12","10","9.8","59","67.79","1","0.1536","69","88.641","0","0.08"
"Michael Burton","DEN","RB","24.3","26.7","-2.3999999999999986","1.4","1.6","-0.1","17","10","8.09","65","61.63","1","0.9696","8","18.3562","1","1.47"
"Brevyn Spann-Ford","DAL","TE","13.3","18.4","-5.099999999999998","0.8","1.1","-0.3","17","9","10.05","88","103.35","0","0.5088","0","0","0","0"
"Charlie Kolar","BLT","TE","23.8","15.5","8.3","1.8","1.2","0.6","13","9","7.83","131","85.86","1","0.4416","2","3.9494","0","0"
"Bub Means","NO","WR","22.3","20.6","1.6999999999999993","3.2","2.9","0.2","7","9","9.04","118","123.64","1","0.6144","0","0","0","0"
"Odell Beckham Jr.","MIA","WR","10","26.2","-16.2","1.1","2.9","-1.8","9","9","11.93","55","129.95","0","1.2","0","0","0","0"
"Isaiah Davis","NYJ","RB","41.4","29.4","12","4.6","3.3","1.3","9","9","9.43","75","64.16","1","0.7008","174","126.4886","1","0.23"
"DeAndre Carter","CHI","WR","11.7","20.7","-9","1.3","2.3","-1","9","9","9.06","72","106.72","0","0.9216","0","0","0","0"
"Andrew Ogletree","IND","TE","21.4","23.5","-2.1000000000000014","1.3","1.4","-0.1","17","9","9.53","109","128.93","1","0.9696","0","0","0","0"
"Durham Smythe","MIA","TE","9.8","24.6","-14.8","0.6","1.4","-0.9","17","9","11.56","53","117.65","0","1.1808","0","0","0","0"
"Rakim Jarrett","TB","WR","16.9","16.3","0.5999999999999979","1.7","1.6","0.1","10","9","6.58","124","88.44","0","0.6912","0","0","0","0"
"Sean Tucker","TB","RB","64.2","42.2","22","5.4","3.5","1.8","12","9","9.08","109","72.49","1","0.0192","308","208.0548","2","1.59"
"Jeremy McNichols","WAS","RB","57.3","47.6","9.699999999999996","3.6","3","0.6","16","9","8.85","27","57.8","0","0.3744","261","223.803","4","2.13"
"Jamaal Williams","NO","RB","32.6","37.4","-4.799999999999997","2.3","2.7","-0.3","14","9","7.54","57","56.37","0","0.0576","164","199.332","1","1.29"
"Marquise Brown","KC","WR","13.6","21.2","-7.6","6.8","10.6","-3.8","2","9","10.85","91","128.56","0","0.48","0","0","0","0"
"Harrison Bryant","LV","TE","13.1","12.5","0.5999999999999996","1","1","0","13","9","8.83","86","80.18","0","0.0096","0","0","0","0"
"Jamison Crowder","WAS","WR","23.7","23.4","0.3000000000000007","3.9","3.9","0.1","6","9","8.64","72","98.34","2","1.536","0","0","0","0"
"Trent Sherfield","MIN","WR","18.3","13.4","4.9","1.1","0.8","0.3","17","8","6.63","83","65.88","1","0.5856","0","0","0","0"
"John Bates","WAS","TE","12.4","14.3","-1.9000000000000004","0.7","0.8","-0.1","17","8","8.48","84","88.01","0","0.2112","0","0","0","0"
"Jalin Hyatt","NYG","WR","10.2","26.1","-15.900000000000002","0.6","1.6","-1","16","8","10.56","62","199.82","0","0.1344","0","0","0","0"
"Bo Melton","GB","WR","18.5","28.5","-10","1.1","1.7","-0.6","17","8","8.22","91","129.74","0","1.2768","54","35.084","0","0.04"
"Zay Jones","ARZ","WR","12.4","15.5","-3.0999999999999996","1.1","1.4","-0.3","11","8","7.81","84","113.84","0","0.0288","0","0","0","0"
"Gerald Everett","CHI","TE","7.6","16","-8.4","0.4","0.9","-0.5","17","8","9.35","36","74.65","0","0.6432","0","0","0","0"
"Tyler Higbee","LA","TE","22.6","20.4","2.200000000000003","7.5","6.8","0.7","3","8","8.84","66","56.86","2","1.7088","0","0","0","0"
"Hayden Hurst","LAC","TE","11.3","22.5","-11.2","1.3","2.5","-1.2","9","8","9.78","73","88.69","0","1.4496","0","0","0","0"
"Pharaoh Brown","SEA","TE","10.5","17.2","-6.699999999999999","0.7","1.1","-0.4","15","8","9.3","65","90.36","0","0.5856","0","0","0","0"
"Michael Woods II","CLV","WR","10","26.6","-16.6","2","5.3","-3.3","5","7","11.5","65","142.79","0","1.0944","0","0","0","0"
"Ainias Smith","PHI","WR","14.2","12.6","1.5999999999999996","2","1.8","0.2","7","7","6.75","41","57.28","1","0.4416","6","8.3104","0","0.01"
"Luke Musgrave","GB","TE","8","12.5","-4.5","1.1","1.8","-0.6","7","7","6.71","45","73.69","0","0.2976","0","0","0","0"
"Blake Corum","LA","RB","30","46.4","-16.4","2.1","3.3","-1.2","14","7","7.13","58","53.82","0","0","207","247.7444","0","2.11"
"Britain Covey","PHI","WR","6.9","10.9","-4","1.4","2.2","-0.8","5","7","6.5","34","43.25","0","0.5472","0","0","0","0"
"Charlie Woerner","ATL","TE","8.1","12.2","-4.1","0.5","0.8","-0.3","16","7","8.68","46","76.56","0","0.0384","0","0","0","0"
"Hunter Long","LA","TE","9.5","10.9","-1.4000000000000004","0.6","0.6","-0.1","17","7","7.38","60","70.55","0","0.0192","0","0","0","0"
"Tucker Fisk","LAC","TE","7.4","11.5","-4.1","0.8","1.3","-0.5","9","7","6.44","39","55.69","0","0.4512","0","0","0","0"
"Brandon Powell","MIN","WR","10.6","13.7","-3.0999999999999996","0.6","0.8","-0.2","17","7","6.89","71","92.99","0","0.1632","0","0","0","0"
"KhaDarel Hodge","ATL","WR","22.6","16.1","6.5","1.5","1.1","0.4","15","7","6.69","131","85.9","1","0.6912","0","0","0","0"
"Jalen Reagor","LAC","WR","13.2","15.1","-1.9000000000000004","1.6","1.9","-0.2","8","7","6.72","100","85.32","0","0.3072","-3","8.3692","0","0.09"
"Tank Bigsby","JAX","RB","127.5","124.8","2.700000000000003","8.5","8.3","0.2","15","7","9.6","54","64.77","0","0.0768","766","678.8672","7","7.53"
"Carson Steele","KC","RB","24.4","47.6","-23.200000000000003","1.5","3","-1.5","16","7","8.77","26","56.41","0","0.3648","183","230.4964","0","2.06"
"River Cracraft","MIA","WR","10.1","10.7","-0.5999999999999996","1.3","1.3","-0.1","8","7","5.3","66","57.9","0","0.3744","0","0","0","0"
"K.J. Osborn","WAS","WR","15.2","23.3","-8.100000000000001","1.9","2.9","-1","8","7","11.23","57","107.65","1","1.1616","0","0","0","0"
"Chris Conley","SF","WR","10.6","21.1","-10.500000000000002","0.7","1.4","-0.7","15","6","7.18","76","126.12","0","0.816","0","0","0","0"
"Zamir White","LV","RB","30.3","46","-15.7","3.8","5.8","-2","8","6","7.12","30","34.68","0","0.0288","183","277.3992","1","1.85"
"Connor Heyward","PIT","TE","13","10.6","2.4000000000000004","0.8","0.6","0.1","17","6","5.58","40","66.94","1","0.1824","0","0","0","0"
"Tip Reiman","ARZ","TE","6.7","7.6","-0.8999999999999995","0.4","0.4","-0.1","17","6","5.69","37","44.94","0","0.048","0","0","0","0"
"Davis Allen","LA","TE","6.9","19.6","-12.700000000000001","0.5","1.4","-0.9","14","6","9.4","39","73.16","0","1.2592","0","0","0","0"
"Blake Whiteheart","CLV","TE","14.1","16.8","-2.700000000000001","1.3","1.5","-0.2","11","6","6.64","51","77.71","1","0.9504","0","0","0","0"
"Xavier Gipson","NYJ","WR","13.4","15.6","-2.1999999999999993","0.8","1","-0.1","16","6","6.67","39","82.99","1","0.5856","5","4.2826","0","0"
"Sincere McCormick","LV","RB","24.2","30.2","-6","6","7.5","-1.5","4","6","5.15","29","34.97","0","0.2208","183","166.1688","0","1.03"
"MyCole Pruitt","PIT","TE","13","16","-3","1.1","1.3","-0.3","12","6","8.07","40","76.08","1","0.72","0","0","0","0"
"Bryce Oliver","TEN","WR","12.5","10.7","1.8000000000000007","1.4","1.2","0.2","9","6","4.97","95","68.9","0","0.2208","0","0","0","0"
"D'Onta Foreman","CLV","RB","31.6","57.6","-26","2.9","5.2","-2.4","11","6","6.99","54","51.64","0","0.0288","232","288.4344","0","3.32"
"Ty Chandler","MIN","RB","25.4","36.6","-11.200000000000003","2.3","3.3","-1","11","6","5.42","42","32.32","0","0.2304","182","243.6966","0","0.82"
"Simi Fehoko","LAC","WR","13.6","26.5","-12.9","1.7","3.3","-1.6","8","6","8.88","106","143.74","0","1.2768","0","0","0","0"
"Trey Benson","ARZ","RB","44","39.4","4.600000000000001","3.4","3","0.4","13","6","5.46","59","34.28","0","0.0288","291","282.1228","1","0.81"
"Parris Campbell","PHI","WR","12","10.5","1.5","2.4","2.1","0.3","5","6","4.65","30","37.5","1","0.7392","0","0","0","0"
"Audric Estime","DEN","RB","48.2","48.7","-0.5","3.7","3.7","0","13","5","4.51","27","31.29","0","0","310","330.9072","2","1.7"
"Peyton Hendershot","KC","TE","7.6","6.6","1","1.3","1.1","0.2","6","5","3.89","51","33.76","0","0.2112","0","0","0","0"
"Laviska Shenault Jr.","LAC","WR","6.2","5.7","0.5","0.6","0.5","0","11","5","4.54","36","29.23","0","0.0096","1","4.606","0","0"
"Devin Culp","TB","TE","11.3","10.4","0.9000000000000004","2.3","2.1","0.2","5","5","4","88","56.36","0","0.4608","0","0","0","0"
"Scott Miller","PIT","WR","9.4","12","-2.5999999999999996","0.7","0.9","-0.2","13","5","6.12","69","82.38","0","0.1152","0","0","0","0"
"Quintin Morris","BUF","TE","12.1","13","-0.9000000000000004","0.8","0.9","-0.1","15","5","5.17","36","66","1","0.6432","0","0","0","0"
"Kendre Miller","NO","RB","26.6","27.9","-1.2999999999999972","4.4","4.6","-0.2","6","5","7.02","33","56.49","0","0.0192","148","168.56","1","0.29"
"Kenny Yeboah","NYJ","TE","13.2","12.4","0.7999999999999989","1.5","1.4","0.1","9","5","5.95","47","54.17","1","0.6624","0","0","0","0"
"C.J. Ham","MIN","RB","13","9.5","3.5","0.8","0.6","0.2","17","5","5.16","35","35.62","0","0.0096","10","6.125","1","0.45"
"Johnny Wilson","PHI","WR","12.3","23.6","-11.3","0.8","1.5","-0.7","16","5","9.45","38","106.91","1","1.3632","0","0","0","0"
"Ronnie Rivers","LA","RB","15.8","17.8","-2","3.2","3.6","-0.4","5","5","5.64","34","28.29","0","0.0192","99","92.2866","0","0.46"
"Ben Sinnott","WAS","TE","11.3","8.3","3","0.7","0.5","0.2","17","5","4.12","28","29.36","1","0.5568","0","0","0","0"
"Nick Chubb","CLV","RB","62.8","76.1","-13.299999999999997","7.8","9.5","-1.7","8","5","7.32","31","53.24","1","0.384","332","425.7814","3","3.7"
"Cam Grandy","CIN","TE","5.3","8.4","-3.1000000000000005","0.7","1.1","-0.4","8","5","4.07","28","31.26","0","0.5376","0","0","0","0"
"Greg Dulcich","NYG","TE","5.3","12.8","-7.500000000000001","0.6","1.4","-0.8","9","5","7.31","28","75.55","0","0.2592","0","0","0","0"
"Kimani Vidal","LAC","RB","30.2","32.3","-2.099999999999998","3","3.2","-0.2","10","5","6.37","62","56.52","1","0.1728","155","191.0608","0","0.56"
"Ben Skowronek","PIT","WR","9.4","6.9","2.5","1","0.8","0.3","9","5","3.8","69","48.84","0","0.0192","0","0","0","0"
"Deven Thompkins","CAR","WR","4.7","6.7","-2","0.7","1","-0.3","7","4","3.56","20","21.91","0","0.2688","7","8.526","0","0.04"
"Scott Matlock","LAC","RB","4.8","5.7","-0.9000000000000004","0.3","0.3","-0.1","17","4","4.27","28","35.79","0","0","0","0","0","0"
"Tyquan Thornton","NE","WR","6.7","12.4","-5.7","1.1","2.1","-1","6","4","4.66","47","79.49","0","0.3552","0","0","0","0"
"Ben Sims","GB","TE","6.2","6.8","-0.5999999999999996","0.4","0.4","0","16","4","2.93","42","26.9","0","0.4416","0","0","0","0"
"Will Shipley","PHI","RB","13.7","19.4","-5.699999999999999","1.7","2.4","-0.7","8","4","3.25","35","22.59","0","0.2496","82","125.7438","0","0.24"
"Jacob Cowing","SF","WR","10.7","8.7","2","0.9","0.7","0.2","12","4","2.9","80","42.14","0","0.4224","7","4.7628","0","0"
"Will Mallory","IND","TE","4.9","9.6","-4.699999999999999","0.5","1","-0.5","10","4","5.18","29","69.76","0","0.0096","0","0","0","0"
"Jermaine Burton","CIN","WR","12.7","26.1","-13.400000000000002","0.9","1.9","-1","14","4","5.67","107","124.17","0","1.8144","0","0","0","0"
"DJ Chark Jr.","LAC","WR","11.1","14.4","-3.3000000000000007","1.6","2.1","-0.5","7","4","5.17","31","65.32","1","0.8832","0","0","0","0"
"Treylon Burks","TEN","WR","5.5","12.3","-6.800000000000001","1.1","2.5","-1.4","5","4","4.8","34","75.87","0","0.2208","1","9.555","0","0"
"Ian Thomas","CAR","TE","2.2","7","-4.8","0.4","1.4","-1","5","3","4","7","41.84","0","0.1344","0","0","0","0"
"Clyde Edwards-Helaire","NO","RB","8.5","10.8","-2.3000000000000007","4.3","5.4","-1.2","2","3","4.07","24","25.57","0","0","46","58.1238","0","0.07"
"James Proche II","CLV","WR","3.6","2.9","0.7000000000000002","0.5","0.4","0.1","7","3","1.9","21","16.21","0","0.048","0","0","0","0"
"Tim Jones","JAX","WR","5.6","6","-0.40000000000000036","0.3","0.4","0","16","3","3.61","41","42.21","0","0","0","0","0","0"
"Patrick Taylor","SF","RB","28.3","39.9","-11.599999999999998","4","5.7","-1.7","7","3","9.35","25","74.46","0","0.1536","183","157.731","1","1.84"
"Hassan Haskins","LAC","RB","33.3","37","-3.700000000000003","2.4","2.6","-0.3","14","3","2.57","49","23.3","1","0.0096","89","113.27","2","3.67"
